node1	node2
CTNNB1	LEF1
CTNNB1	EGF
CTNNB1	WNT2
CTNNB1	RB1
CTNNB1	FGF7
CTNNB1	TP53
CTNNB1	ERBB2
CTNNB1	FGF18
CTNNB1	EGFR
CTNNB1	TCF7L1
CTNNB1	WNT3A
CTNNB1	WNT7A
CTNNB1	FZD7
CTNNB1	FZD1
CTNNB1	KIT
CTNNB1	WNT4
CTNNB1	WNT1
CTNNB1	LRP5
CTNNB1	FGF19
CTNNB1	WNT10B
CTNNB1	MAP2K1
CTNNB1	FOS
CTNNB1	FGF5
CTNNB1	DVL3
CTNNB1	FGF8
CTNNB1	FZD2
CTNNB1	GSK3B
CTNNB1	PGR
CTNNB1	WNT11
CTNNB1	JAG2
CTNNB1	SP1
CTNNB1	FGF3
CTNNB1	HEY1
CTNNB1	TCF7
CTNNB1	WNT7B
CTNNB1	ESR2
CTNNB1	E2F1
CTNNB1	FZD9
CTNNB1	FZD6
CTNNB1	FGF17
CTNNB1	MTOR
CTNNB1	FZD5
CTNNB1	DLL1
CTNNB1	PARP1
CTNNB1	NRAS
CTNNB1	WNT2B
CTNNB1	FRAT2
CTNNB1	FRAT1
CTNNB1	JUN
CTNNB1	PTEN
CTNNB1	FZD8
CTNNB1	NOTCH4
CTNNB1	HES5
CTNNB1	DVL1
CTNNB1	FGF9
CTNNB1	GRB2
CTNNB1	IGF1
CTNNB1	WNT5B
CTNNB1	TNFSF11
CTNNB1	NCOA1
CTNNB1	FGFR1
CTNNB1	FGF16
CTNNB1	SHC1
CTNNB1	RAF1
CTNNB1	ESR1
CTNNB1	HRAS
CTNNB1	SFRP4
CTNNB1	PIK3R1
CTNNB1	MYC
CTNNB1	FGF1
CTNNB1	TCF7L2
CTNNB1	NOTCH1
CTNNB1	IGF1R
DDB2	MAPK1
DDB2	NBN
DDB2	E2F1
DDB2	GADD45A
DDB2	RAD51
DDB2	PARP1
DDB2	TP53
DLL1	DLL3
DLL1	WNT3
DLL1	HES1
DLL1	DLL4
DLL1	NOTCH2
DLL1	NOTCH3
DLL1	LEF1
DLL1	EGF
DLL1	EGFR
DLL1	WNT3A
DLL1	WNT4
DLL1	FGF8
DLL1	JAG2
DLL1	HEY1
DLL1	MYC
DLL1	HEYL
DLL1	HEY2
DLL1	HES5
DLL1	NOTCH4
DLL1	NOTCH1
DLL3	EGFR
DLL3	HES1
DLL3	HEYL
DLL3	HEY2
DLL3	HEY1
DLL3	HES5
DLL3	EGF
DLL3	DLL4
DLL3	NOTCH1
DLL3	NOTCH3
DLL3	NOTCH2
DLL3	NOTCH4
DLL4	WNT3
DLL4	HES1
DLL4	WNT3A
DLL4	KIT
DLL4	MYC
DLL4	EGF
DLL4	JAG2
DLL4	HES5
DLL4	HEYL
DLL4	FGF2
DLL4	EGFR
DLL4	HEY2
DLL4	HEY1
DLL4	FLT4
DLL4	NOTCH4
DLL4	NOTCH3
DLL4	NOTCH1
DLL4	NOTCH2
DVL1	DVL2
DVL1	WNT16
DVL1	WNT3
DVL1	FZD10
DVL1	WNT6
DVL1	FZD3
DVL1	NOTCH2
DVL1	WNT10A
DVL1	LRP6
DVL1	NOTCH3
DVL1	WNT5A
DVL1	LEF1
DVL1	EGF
DVL1	WNT2
DVL1	TCF7L1
DVL1	WNT3A
DVL1	WNT7A
DVL1	FZD7
DVL1	FZD1
DVL1	WNT4
DVL1	WNT1
DVL1	LRP5
DVL1	WNT10B
DVL1	DVL3
DVL1	FZD2
DVL1	GSK3B
DVL1	WNT11
DVL1	TCF7
DVL1	WNT7B
DVL1	FZD9
DVL1	FZD6
DVL1	FZD5
DVL1	WNT2B
DVL1	FRAT2
DVL1	FRAT1
DVL1	JUN
DVL1	PTEN
DVL1	FZD8
DVL1	NOTCH4
DVL1	SFRP4
DVL1	MYC
DVL1	TCF7L2
DVL1	WNT5B
DVL1	NOTCH1
DVL2	WNT16
DVL2	JUN
DVL2	WNT2B
DVL2	WNT2
DVL2	WNT6
DVL2	WNT10A
DVL2	TCF7L1
DVL2	WNT10B
DVL2	MYC
DVL2	WNT7A
DVL2	WNT3
DVL2	LEF1
DVL2	TP53
DVL2	PTEN
DVL2	WNT7B
DVL2	WNT5B
DVL2	WNT4
DVL2	WNT1
DVL2	FZD10
DVL2	WNT11
DVL2	LRP5
DVL2	FZD3
DVL2	FRAT2
DVL2	NOTCH4
DVL2	WNT3A
DVL2	FRAT1
DVL2	NOTCH2
DVL2	FZD9
DVL2	FZD1
DVL2	NOTCH3
DVL2	NOTCH1
DVL2	FZD6
DVL2	FZD8
DVL2	FZD2
DVL2	FZD5
DVL2	FZD7
DVL2	GSK3B
DVL2	WNT5A
DVL2	DVL3
DVL2	LRP6
DVL3	WNT16
DVL3	WNT3
DVL3	FZD10
DVL3	WNT6
DVL3	FZD3
DVL3	NOTCH2
DVL3	LRP6
DVL3	NOTCH3
DVL3	WNT5A
DVL3	LEF1
DVL3	WNT2
DVL3	WNT3A
DVL3	WNT7A
DVL3	FZD7
DVL3	FZD1
DVL3	WNT4
DVL3	WNT1
DVL3	LRP5
DVL3	WNT10B
DVL3	WNT2B
DVL3	PTEN
DVL3	WNT7B
DVL3	WNT5B
DVL3	WNT11
DVL3	FZD2
DVL3	FZD9
DVL3	FZD5
DVL3	NOTCH4
DVL3	FRAT1
DVL3	FZD6
DVL3	FRAT2
DVL3	NOTCH1
DVL3	FZD8
DVL3	GSK3B
E2F1	KRAS
E2F1	E2F3
E2F1	MAPK3
E2F1	PIK3CA
E2F1	LEF1
E2F1	EGF
E2F1	NBN
E2F1	RB1
E2F1	TP53
E2F1	ERBB2
E2F1	EGFR
E2F1	FOS
E2F1	GSK3B
E2F1	PGR
E2F1	SP1
E2F1	IGF1R
E2F1	GADD45A
E2F1	MTOR
E2F1	IGF1
E2F1	HRAS
E2F1	ESR1
E2F1	NOTCH1
E2F1	JUN
E2F1	PARP1
E2F1	RAD51
E2F1	PTEN
E2F1	NCOA3
E2F1	E2F2
E2F1	MYC
E2F2	E2F3
E2F2	RB1
E2F2	TP53
E2F2	FOS
E2F2	SP1
E2F2	PTEN
E2F2	MYC
E2F3	KRAS
E2F3	JUN
E2F3	EGFR
E2F3	ERBB2
E2F3	PTEN
E2F3	SP1
E2F3	NOTCH1
E2F3	TP53
E2F3	MYC
E2F3	RB1
EGF	FGF4
EGF	FGF20
EGF	FGF22
EGF	MAPK1
EGF	SOS2
EGF	PIK3R2
EGF	WNT3
EGF	RPS6KB1
EGF	FGF6
EGF	WNT6
EGF	FGF23
EGF	KRAS
EGF	FLT4
EGF	MAPK3
EGF	NOTCH3
EGF	PIK3CA
EGF	FGF2
EGF	SHC2
EGF	WNT5A
EGF	FGF10
EGF	LEF1
EGF	SP1
EGF	RPS6KB2
EGF	TNFSF11
EGF	HES5
EGF	HEY1
EGF	WNT2
EGF	FGF21
EGF	SHC3
EGF	WNT1
EGF	PARP1
EGF	ESR2
EGF	RAF1
EGF	GSK3B
EGF	WNT4
EGF	MTOR
EGF	MAP2K1
EGF	FGF19
EGF	PGR
EGF	PTEN
EGF	NRAS
EGF	JAG2
EGF	TP53
EGF	FOS
EGF	ESR1
EGF	SOS1
EGF	MYC
EGF	FGF1
EGF	WNT3A
EGF	HRAS
EGF	JUN
EGF	PIK3R1
EGF	SHC1
EGF	FGFR1
EGF	KIT
EGF	FGF9
EGF	FGF17
EGF	FGF18
EGF	FGF3
EGF	FGF16
EGF	FGF8
EGF	FGF7
EGF	FGF5
EGF	IGF1
EGF	GRB2
EGF	IGF1R
EGF	ERBB2
EGF	EGFR
EGFR	FGF4
EGFR	FGF20
EGFR	FGF22
EGFR	MAPK1
