EFL1	RPS26
EFL1	RPS14
EFL1	RPL15
EFL1	RPS20
EFL1	RPL18
EFL1	RPS28
EFL1	RPS19
EFL1	RPS15
EFL1	RPL5
EFL1	RPL11
ELANE	SBDS
ELANE	RARA
ELANE	GFI1
ELANE	HAX1
ETV6	FLT3
ETV6	RARA
ETV6	KRAS
ETV6	PDGFRA
ETV6	PDGFRB
ETV6	PIK3CA
ETV6	TP53
ETV6	KIT
ETV6	TAL1
ETV6	NPM1
ETV6	RUNX1
ETV6	MLLT10
ETV6	SAMD9L
ETV6	IKZF1
ETV6	GFI1B
ETV6	SH2B3
ETV6	GATA2
ETV6	NF1
ETV6	NUP214
ETV6	NRAS
ETV6	GATA1
ETV6	JAK2
ETV6	SRSF2
ETV6	SETD2
ETV6	PTPN11
ETV6	SETBP1
ETV6	PIK3R1
ETV6	TET2
EVC	GLI1
EVC	EVC2
EVC2	GLI1
EVC2	F13A1
F13A1	TYROBP
F13A1	F13B
FANCA	FANCE
FANCA	MLH1
FANCA	MSH2
FANCA	MSH6
FANCA	SBDS
FANCA	KRAS
FANCA	PIK3CA
FANCA	NBN
FANCA	PMS2
FANCA	TP53
FANCA	FANCD2
FANCA	FANCC
FANCA	NPM1
FANCA	TERT
FANCA	FANCG
FANCA	LIG4
FANCA	RECQL4
FANCC	FANCE
FANCC	MLH1
FANCC	MSH2
FANCC	MSH6
FANCC	PMS2
FANCC	TP53
FANCC	FANCD2
FANCC	RECQL4
FANCC	LIG4
FANCC	NPM1
FANCC	FANCG
FANCD2	FANCE
FANCD2	MLH1
FANCD2	MSH2
FANCD2	MSH6
FANCD2	MDM2
FANCD2	KIF11
FANCD2	NBN
FANCD2	PMS2
FANCD2	TP53
FANCD2	RUNX1
FANCD2	RPL11
FANCD2	RECQL4
FANCD2	LIG4
FANCD2	FANCG
FANCE	MSH2
FANCE	MLH1
FANCE	PMS2
FANCE	MSH6
FANCE	SBDS
FANCE	RPS15A
FANCE	RPS10
FANCE	RPS14
FANCE	RPL26
FANCE	RPS28
FANCE	RPS29
FANCE	RPL35A
FANCE	RPS26
FANCE	RPS17
FANCE	RPS7
FANCE	RPL15
FANCE	RPS19
FANCE	RPL18
FANCE	RPL35
FANCE	RPS20
FANCE	RPS24
FANCE	RPL11
FANCE	RPS15
FANCE	RPL5
FANCE	FANCG
FANCG	MLH1
FANCG	MSH2
FANCG	MSH6
FANCG	PMS2
FANCG	TP53
FANCG	LIG4
FANCG	RECQL4
FLT3	MLH1
FLT3	JAK2
FLT3	NSD1
FLT3	MDM2
FLT3	PDGFRA
FLT3	TAL1
FLT3	MLLT10
FLT3	GFI1
FLT3	NUP214
FLT3	IKZF3
FLT3	MPL
FLT3	NF1
FLT3	GATA1
FLT3	SETBP1
FLT3	IKZF1
FLT3	GATA2
FLT3	SRSF2
FLT3	THPO
FLT3	TP53
FLT3	RARA
FLT3	SH2B3
FLT3	RUNX1
FLT3	TET2
FLT3	KRAS
FLT3	PTPN11
FLT3	NRAS
FLT3	NPM1
FLT3	PIK3R1
FLT3	PIK3CA
GATA1	RARA
GATA1	TP53
GATA1	KIT
GATA1	TAL1
GATA1	GFI1
GATA1	NPM1
GATA1	RUNX1
GATA1	IKZF1
GATA1	TAL2
GATA1	GFI1B
GATA1	GATA2
GATA1	RPS26
GATA1	NF1
GATA1	NRAS
GATA1	RPL5
GATA1	MPL
GATA1	TSR2
GATA1	RPL35A
GATA1	SETBP1
GATA1	RPS24
GATA1	RPL11
GATA1	TET2
GATA1	RPS19
GATA1	JAK2
GATA1	THPO
